City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,23.99,90,9,0.45,US,1680548478
1,port lincoln,-34.7333,135.8667,17.63,72,5,2.52,AU,1680548478
2,matara,5.9485,80.5353,24.97,87,72,0.56,LK,1680548479
3,jamestown,42.097,-79.2353,16.8,41,0,5.14,US,1680548315
4,ghoti,19.7168,73.6245,22.48,64,0,0.49,IN,1680548480
5,port macquarie,-31.4333,152.9167,15.5,93,21,2.63,AU,1680548480
6,busselton,-33.65,115.3333,14.11,86,8,2.74,AU,1680548484
7,shar,49.5886,81.0453,-1.84,53,0,2.66,KZ,1680548486
8,port elizabeth,-33.918,25.5701,18.94,85,0,9.26,ZA,1680548486
9,ushuaia,-54.8,-68.3,17.81,34,20,7.72,AR,1680548346
10,lebu,-37.6167,-73.65,15.15,63,0,8.16,CL,1680548487
11,haines junction,60.7522,-137.5108,-8.03,62,19,1.03,CA,1680548487
12,nantucket,41.2835,-70.0995,9.49,68,12,9.33,US,1680548488
13,georgetown,5.4112,100.3354,25.97,89,20,0.0,MY,1680548314
14,chokurdakh,70.6333,147.9167,-14.5,95,98,4.29,RU,1680548488
15,dikson,73.5069,80.5464,-26.98,100,100,4.61,RU,1680548489
16,cabo san lucas,22.8909,-109.9124,27.81,48,100,5.11,MX,1680548390
17,bouna,9.2667,-3.0,30.22,41,92,2.44,CI,1680548489
18,rikitea,-23.1203,-134.9692,26.37,83,70,6.05,PF,1680548291
19,mataura,-46.1927,168.8643,14.71,86,89,1.03,NZ,1680548491
20,hobart,-42.8794,147.3294,12.25,88,100,2.57,AU,1680548329
21,monchegorsk,67.9397,32.8739,-7.2,95,100,4.0,RU,1680548492
22,vila velha,-20.3297,-40.2925,27.97,58,75,6.17,BR,1680548446
23,aksu,41.1231,80.2644,7.05,17,0,6.32,CN,1680548493
24,hilo,19.7297,-155.09,24.04,89,100,2.57,US,1680548379
25,brooklyn park,45.0941,-93.3563,6.79,62,0,4.12,US,1680548494
26,broome,42.2506,-75.833,17.6,39,54,5.36,US,1680548494
27,hasaki,35.7333,140.8333,7.34,54,0,5.39,JP,1680548381
28,sitka,57.0531,-135.33,4.84,70,23,1.27,US,1680548495
29,bolshaya martynovka,47.271,41.6679,9.68,93,42,4.1,RU,1680548495
30,rauma,61.1272,21.5113,-2.98,89,12,2.45,FI,1680548350
31,kuningan,-6.9758,108.4831,20.7,89,100,1.25,ID,1680548495
32,udachnyy,66.4167,112.4,-3.64,79,100,8.74,RU,1680548496
33,talnakh,69.4865,88.3972,-31.92,99,62,3.49,RU,1680548382
34,tiksi,71.6872,128.8694,-13.95,96,78,3.5,RU,1680548496
35,saint-philippe,-21.3585,55.7679,23.77,88,99,2.84,RE,1680548496
36,kaeo,-35.1,173.7833,14.46,70,81,2.87,NZ,1680548496
